epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6905,1.261,3.71131,1.3976,0.00411,0.8631,0.27393,0.21283,0.69646,3.21062,1.03008,0.000175,0.000175,0.000175
2,19.726,1.22959,3.00389,1.32795,0.00438,0.87351,0.31312,0.2269,0.81573,2.95145,1.08878,0.000338575,0.000338575,0.000338575
3,26.1149,1.19205,2.67847,1.28567,0.77939,0.06119,0.3639,0.2711,0.83594,2.81032,1.07456,0.0004774,0.0004774,0.0004774
4,31.1258,1.19073,2.50891,1.27561,0.68486,0.22302,0.43289,0.32627,0.80765,2.54378,1.04585,0.000591475,0.000591475,0.000591475
5,38.513,1.15656,2.48046,1.26262,0.4773,0.40564,0.39636,0.28328,0.96348,2.45599,1.09233,0.0006808,0.0006808,0.0006808
6,45.3491,0.97238,2.68561,1.15497,0.38301,0.45761,0.40304,0.27344,0.92443,2.3846,1.07912,0.000745375,0.000745375,0.000745375
7,50.444,0.96934,2.46633,1.15696,0.43205,0.6158,0.45771,0.34171,0.90184,1.98987,1.05808,0.000755,0.000755,0.000755
8,57.7364,0.89978,2.35912,1.10745,0.47843,0.58918,0.46168,0.3459,0.89798,1.93252,1.08314,0.0006725,0.0006725,0.0006725
9,62.4021,0.89506,2.2843,1.10236,0.4239,0.74229,0.51609,0.38092,0.8838,1.87377,1.0738,0.00059,0.00059,0.00059
10,67.059,0.88034,2.22628,1.05566,0.41376,0.72776,0.47756,0.33593,0.88785,1.87119,1.09527,0.0005075,0.0005075,0.0005075
11,74.8199,0.84732,2.17607,1.05472,0.3895,0.7502,0.5247,0.39648,0.77187,1.76436,1.02438,0.000425,0.000425,0.000425
12,79.5911,0.77652,2.04383,1.02203,0.49647,0.75223,0.58744,0.46121,0.7402,1.70989,0.98832,0.0003425,0.0003425,0.0003425
13,84.0322,0.76641,1.99779,1.00127,0.53143,0.70443,0.64024,0.49637,0.63386,1.50407,0.92544,0.00026,0.00026,0.00026
14,91.268,0.72605,1.84391,1.00682,0.53843,0.83149,0.6771,0.52759,0.62317,1.41585,0.93563,0.0001775,0.0001775,0.0001775
15,96.206,0.67246,1.82638,0.9718,0.62565,0.81483,0.69964,0.56142,0.6259,1.39301,0.94055,9.5e-05,9.5e-05,9.5e-05
